326,2004款 3.0L 舒适型,A 奥迪,一汽-大众奥迪 奥迪A4,55.03
327,2004款 3.0L 加温型,A 奥迪,一汽-大众奥迪 奥迪A4,56.55
329,2004款 3.0L 豪华型,A 奥迪,一汽-大众奥迪 奥迪A4,60.68
854,2004款 3.0L 尊享型,A 奥迪,一汽-大众奥迪 奥迪A4,54.37
870,2004款 2.4L 尊享型,A 奥迪,一汽-大众奥迪 奥迪A4,54.37
981,2004款 1.8T,A 奥迪,一汽-大众奥迪 奥迪A4,36.2
982,2004款 2.4L 舒适型,A 奥迪,一汽-大众奥迪 奥迪A4,47.32
1227,2004款 1.8T Sline,A 奥迪,一汽-大众奥迪 奥迪A4,40
101045,03款 1.8T 手动,A 奥迪,一汽-大众奥迪 奥迪A4,no price
101046,03款 1.8T 自动,A 奥迪,一汽-大众奥迪 奥迪A4,no price
101047,03款 2.4 自动,A 奥迪,一汽-大众奥迪 奥迪A4,no price
101048,03款 3.0 Quattro 自动,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100160,03款 1.8T 基本型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100161,03款 1.8T 舒适型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100162,03款 1.8T 技术领先型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100163,03款 1.8 基本型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100164,03款 2.4 舒适型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100165,03款 2.4 运动型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100166,03款 2.4 尊享型,A 奥迪,一汽-大众奥迪 奥迪A4,no price
100167,03款 3.0 Quattro 手动一体,A 奥迪,一汽-大众奥迪 奥迪A4,no price
101432,05款 2.5（TDI）手自一体,A 奥迪,一汽-大众奥迪 奥迪A6,no price
148,2004款 2.4L 豪华舒适,A 奥迪,一汽-大众奥迪 奥迪A6,46.63
149,2004款 1.8T 手动基本,A 奥迪,一汽-大众奥迪 奥迪A6,37.83
331,2004款 1.8L（125马力）,A 奥迪,一汽-大众奥迪 奥迪A6,33.43
642,2004款 1.8T 自动基本,A 奥迪,一汽-大众奥迪 奥迪A6,40
643,2004款 1.8T 自动舒适,A 奥迪,一汽-大众奥迪 奥迪A6,45.06
644,2004款 2.4L 技术领先,A 奥迪,一汽-大众奥迪 奥迪A6,50.98
646,2004款 2.8L 豪华型,A 奥迪,一汽-大众奥迪 奥迪A6,53.54
647,2004款 2.8L 技术领先,A 奥迪,一汽-大众奥迪 奥迪A6,53.75
984,2004款 2.4L 手动基本,A 奥迪,一汽-大众奥迪 奥迪A6,39.62
985,2004款 2.4L 自动基本,A 奥迪,一汽-大众奥迪 奥迪A6,42.93
1071,2004款 2.8L 行政版,A 奥迪,一汽-大众奥迪 奥迪A6,58.8
1072,2004款 2.4L 行政版,A 奥迪,一汽-大众奥迪 奥迪A6,56.03
100151,04款 2.5（TDI）手自一体,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101062,03款 2.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101063,03款 2.4L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101064,03款 1.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101065,03款 1.8T,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101058,02款 1.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101059,02款 1.8T,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101060,02款 2.4L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101061,02款 2.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101054,01款 1.8T,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101055,01款 1.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101056,01款 2.4L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101057,01款 2.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101050,2000款 2.4L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101051,2000款 2.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101052,2000款 1.8L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101053,2000款 1.8T,A 奥迪,一汽-大众奥迪 奥迪A6,no price
101049,99款 2.4L,A 奥迪,一汽-大众奥迪 奥迪A6,no price
100124,2.4 手动,A 奥迪,一汽-大众奥迪 奥迪A6,no price
